work_id,rater_id,method,dimension,rating
image06,R1,direct,relevance,3
image06,R2,direct,relevance,3
image06,R3,direct,relevance,1
image06,R1,direct,specificity,2
image06,R2,direct,specificity,3
image06,R3,direct,specificity,1
image06,R1,gdeval,actionability,4
image06,R2,gdeval,actionability,5
image06,R3,gdeval,actionability,5
image06,R1,gdeval,pedagogical,5
image06,R2,gdeval,pedagogical,5
image06,R3,gdeval,pedagogical,5
image06,R1,gdeval,relevance,4
image06,R2,gdeval,relevance,5
image06,R3,gdeval,relevance,5
image06,R1,gdeval,specificity,5
image06,R2,gdeval,specificity,5
image06,R3,gdeval,specificity,5
image06,R1,rubric,actionability,3
image06,R2,rubric,actionability,4
image06,R3,rubric,actionability,3
image06,R1,rubric,pedagogical,4
image06,R2,rubric,pedagogical,4
image06,R3,rubric,pedagogical,3
image06,R1,rubric,relevance,3
image06,R2,rubric,relevance,4
image06,R3,rubric,relevance,3
image06,R1,rubric,specificity,4
image06,R2,rubric,specificity,4
image06,R3,rubric,specificity,4
image07,R1,direct,actionability,2
image07,R2,direct,actionability,4
image07,R3,direct,actionability,1
image07,R1,direct,pedagogical,2
image07,R2,direct,pedagogical,3
image07,R3,direct,pedagogical,2
image07,R1,direct,relevance,2
image07,R2,direct,relevance,3
image07,R3,direct,relevance,2
image07,R1,direct,specificity,2
image07,R2,direct,specificity,3
image07,R3,direct,specificity,1
image07,R1,gdeval,actionability,4
image07,R2,gdeval,actionability,5
image07,R3,gdeval,actionability,5
image07,R1,gdeval,pedagogical,5
image07,R2,gdeval,pedagogical,5
image07,R3,gdeval,pedagogical,5
image07,R1,gdeval,relevance,4
image07,R2,gdeval,relevance,5
image07,R3,gdeval,relevance,5
image07,R1,gdeval,specificity,5
image07,R2,gdeval,specificity,5
image07,R3,gdeval,specificity,5
image07,R1,rubric,actionability,4
image07,R2,rubric,actionability,4
image07,R3,rubric,actionability,3
image07,R1,rubric,pedagogical,4
image07,R2,rubric,pedagogical,3
image07,R3,rubric,pedagogical,3
image07,R1,rubric,relevance,4
image07,R2,rubric,relevance,4
image07,R3,rubric,relevance,3
image07,R1,rubric,specificity,4
image07,R2,rubric,specificity,4
image07,R3,rubric,specificity,3
image08,R1,direct,actionability,3
image08,R2,direct,actionability,4
image08,R3,direct,actionability,1
image08,R1,direct,pedagogical,3
image08,R2,direct,pedagogical,3
image08,R3,direct,pedagogical,1
image08,R1,direct,relevance,2
image08,R2,direct,relevance,3
image08,R3,direct,relevance,2
image08,R1,direct,specificity,3
image08,R2,direct,specificity,3
image08,R3,direct,specificity,2
image08,R1,gdeval,actionability,4
image08,R2,gdeval,actionability,5
image08,R3,gdeval,actionability,5
image08,R1,gdeval,pedagogical,4
image08,R2,gdeval,pedagogical,5
image08,R3,gdeval,pedagogical,5
image08,R1,gdeval,relevance,4
image08,R2,gdeval,relevance,5
image08,R3,gdeval,relevance,5
image08,R1,gdeval,specificity,4
image08,R2,gdeval,specificity,5
image08,R3,gdeval,specificity,5
image08,R1,rubric,actionability,4
image08,R2,rubric,actionability,4
image08,R3,rubric,actionability,4
image08,R1,rubric,pedagogical,5
image08,R2,rubric,pedagogical,4
image08,R3,rubric,pedagogical,3
image08,R1,rubric,relevance,4
image08,R2,rubric,relevance,4
image08,R3,rubric,relevance,4
image08,R1,rubric,specificity,5
image08,R2,rubric,specificity,4
image08,R3,rubric,specificity,4
image09,R1,direct,actionability,3
image09,R2,direct,actionability,3
image09,R3,direct,actionability,2
image09,R1,direct,pedagogical,2
image09,R2,direct,pedagogical,3
image09,R3,direct,pedagogical,1
image09,R1,direct,relevance,2
image09,R2,direct,relevance,3
image09,R3,direct,relevance,2
image09,R1,direct,specificity,3
image09,R2,direct,specificity,3
image09,R3,direct,specificity,3
image09,R1,gdeval,actionability,4
image09,R2,gdeval,actionability,5
image09,R3,gdeval,actionability,5
image09,R1,gdeval,pedagogical,5
image09,R2,gdeval,pedagogical,5
image09,R3,gdeval,pedagogical,5
image09,R1,gdeval,relevance,4
image09,R2,gdeval,relevance,5
image09,R3,gdeval,relevance,4
image09,R1,gdeval,specificity,5
image09,R2,gdeval,specificity,5
image09,R3,gdeval,specificity,5
image09,R1,rubric,actionability,4
image09,R2,rubric,actionability,4
image09,R3,rubric,actionability,3
image09,R1,rubric,pedagogical,4
image09,R2,rubric,pedagogical,3
image09,R3,rubric,pedagogical,3
image09,R1,rubric,relevance,4
image09,R2,rubric,relevance,3
image09,R3,rubric,relevance,4
image09,R1,rubric,specificity,5
image09,R2,rubric,specificity,3
image09,R3,rubric,specificity,4
image10,R1,direct,actionability,2
image10,R2,direct,actionability,4
image10,R3,direct,actionability,2
image10,R1,direct,pedagogical,2
image10,R2,direct,pedagogical,3
image10,R3,direct,pedagogical,1
image10,R1,direct,relevance,2
image10,R2,direct,relevance,3
image10,R3,direct,relevance,2
image10,R1,direct,specificity,3
image10,R2,direct,specificity,3
image10,R3,direct,specificity,1
image10,R1,gdeval,actionability,4
image10,R2,gdeval,actionability,5
image10,R3,gdeval,actionability,4
image10,R1,gdeval,pedagogical,5
image10,R2,gdeval,pedagogical,5
image10,R3,gdeval,pedagogical,5
image10,R1,gdeval,relevance,4
image10,R2,gdeval,relevance,5
image10,R3,gdeval,relevance,4
image10,R1,gdeval,specificity,5
image10,R2,gdeval,specificity,5
image10,R3,gdeval,specificity,5
image10,R1,rubric,actionability,4
image10,R2,rubric,actionability,4
image10,R3,rubric,actionability,4
image10,R1,rubric,pedagogical,4
image10,R2,rubric,pedagogical,4
image10,R3,rubric,pedagogical,3
image10,R1,rubric,relevance,3
image10,R2,rubric,relevance,4
image10,R3,rubric,relevance,3
image10,R1,rubric,specificity,4
image10,R2,rubric,specificity,4
image10,R3,rubric,specificity,4
image11,R1,direct,actionability,2
image11,R2,direct,actionability,4
image11,R3,direct,actionability,2
image11,R1,direct,pedagogical,2
image11,R2,direct,pedagogical,3
image11,R3,direct,pedagogical,1
image11,R1,direct,relevance,3
image11,R2,direct,relevance,3
image11,R3,direct,relevance,2
image11,R1,direct,specificity,3
image11,R2,direct,specificity,3
image11,R3,direct,specificity,1
image11,R1,gdeval,actionability,4
image11,R2,gdeval,actionability,5
image11,R3,gdeval,actionability,5
image11,R1,gdeval,pedagogical,4
image11,R2,gdeval,pedagogical,5
image11,R3,gdeval,pedagogical,5
image11,R1,gdeval,relevance,4
image11,R2,gdeval,relevance,5
image11,R3,gdeval,relevance,5
image11,R1,gdeval,specificity,4
image11,R2,gdeval,specificity,5
image11,R3,gdeval,specificity,5
image11,R1,rubric,actionability,3
image11,R2,rubric,actionability,4
image11,R3,rubric,actionability,4
image11,R1,rubric,pedagogical,3
image11,R2,rubric,pedagogical,4
image11,R3,rubric,pedagogical,3
image11,R1,rubric,relevance,4
image11,R2,rubric,relevance,4
image11,R3,rubric,relevance,4
image11,R1,rubric,specificity,4
image11,R2,rubric,specificity,4
image11,R3,rubric,specificity,3
image12,R1,direct,actionability,2
image12,R2,direct,actionability,4
image12,R3,direct,actionability,2
image12,R1,direct,pedagogical,2
image12,R2,direct,pedagogical,3
image12,R3,direct,pedagogical,1
image12,R1,direct,relevance,2
image12,R2,direct,relevance,3
image12,R3,direct,relevance,2
image12,R1,direct,specificity,2
image12,R2,direct,specificity,3
image12,R3,direct,specificity,3
image12,R1,gdeval,actionability,4
image12,R2,gdeval,actionability,5
image12,R3,gdeval,actionability,5
image12,R1,gdeval,pedagogical,5
image12,R2,gdeval,pedagogical,5
image12,R3,gdeval,pedagogical,5
image12,R1,gdeval,relevance,4
image12,R2,gdeval,relevance,5
image12,R3,gdeval,relevance,5
image12,R1,gdeval,specificity,5
image12,R2,gdeval,specificity,5
image12,R3,gdeval,specificity,5
image12,R1,rubric,actionability,3
image12,R2,rubric,actionability,4
image12,R3,rubric,actionability,3
image12,R1,rubric,pedagogical,4
image12,R2,rubric,pedagogical,4
image12,R3,rubric,pedagogical,3
image12,R1,rubric,relevance,3
image12,R2,rubric,relevance,4
image12,R3,rubric,relevance,2
image12,R1,rubric,specificity,3
image12,R2,rubric,specificity,4
image12,R3,rubric,specificity,3
image13,R1,direct,actionability,3
image13,R2,direct,actionability,4
image13,R3,direct,actionability,1
image13,R1,direct,pedagogical,3
image13,R2,direct,pedagogical,3
image13,R3,direct,pedagogical,1
image13,R1,direct,relevance,3
image13,R2,direct,relevance,3
image13,R3,direct,relevance,2
image13,R1,direct,specificity,3
image13,R2,direct,specificity,3
image13,R3,direct,specificity,2
image13,R1,gdeval,actionability,5
image13,R2,gdeval,actionability,5
image13,R3,gdeval,actionability,5
image13,R1,gdeval,pedagogical,5
image13,R2,gdeval,pedagogical,5
image13,R3,gdeval,pedagogical,5
image13,R1,gdeval,relevance,3
image13,R2,gdeval,relevance,5
image13,R3,gdeval,relevance,5
image13,R1,gdeval,specificity,4
image13,R2,gdeval,specificity,5
image13,R3,gdeval,specificity,5
image13,R1,rubric,actionability,4
image13,R2,rubric,actionability,4
image13,R3,rubric,actionability,3
image13,R1,rubric,pedagogical,4
image13,R2,rubric,pedagogical,4
image13,R3,rubric,pedagogical,3
image13,R1,rubric,relevance,4
image13,R2,rubric,relevance,4
image13,R3,rubric,relevance,4
image13,R1,rubric,specificity,4
image13,R2,rubric,specificity,4
image13,R3,rubric,specificity,4
image14,R1,direct,actionability,3
image14,R2,direct,actionability,4
image14,R3,direct,actionability,3
image14,R1,direct,pedagogical,3
image14,R2,direct,pedagogical,3
image14,R3,direct,pedagogical,1
image14,R1,direct,relevance,3
image14,R2,direct,relevance,3
image14,R3,direct,relevance,2
image14,R1,direct,specificity,3
image14,R2,direct,specificity,3
image14,R3,direct,specificity,3
image14,R1,gdeval,actionability,5
image14,R2,gdeval,actionability,5
image14,R3,gdeval,actionability,5
image14,R1,gdeval,pedagogical,5
image14,R2,gdeval,pedagogical,5
image14,R3,gdeval,pedagogical,5
image14,R1,gdeval,relevance,5
image14,R2,gdeval,relevance,5
image14,R3,gdeval,relevance,5
image14,R1,gdeval,specificity,5
image14,R2,gdeval,specificity,5
image14,R3,gdeval,specificity,5
image14,R1,rubric,actionability,5
image14,R2,rubric,actionability,4
image14,R3,rubric,actionability,2
image14,R1,rubric,pedagogical,4
image14,R2,rubric,pedagogical,4
image14,R3,rubric,pedagogical,1
image14,R1,rubric,relevance,4
image14,R2,rubric,relevance,4
image14,R3,rubric,relevance,2
image14,R1,rubric,specificity,5
image14,R2,rubric,specificity,4
image14,R3,rubric,specificity,1
image15,R1,direct,actionability,3
image15,R2,direct,actionability,4
image15,R3,direct,actionability,2
image15,R1,direct,pedagogical,2
image15,R2,direct,pedagogical,3
image15,R3,direct,pedagogical,1
image15,R1,direct,relevance,2
image15,R2,direct,relevance,3
image15,R3,direct,relevance,2
image15,R1,direct,specificity,3
image15,R2,direct,specificity,3
image15,R3,direct,specificity,3
image15,R1,gdeval,actionability,4
image15,R2,gdeval,actionability,5
image15,R3,gdeval,actionability,5
image15,R1,gdeval,pedagogical,4
image15,R2,gdeval,pedagogical,5
image15,R3,gdeval,pedagogical,5
image15,R1,gdeval,relevance,5
image15,R2,gdeval,relevance,5
image15,R3,gdeval,relevance,5
image15,R1,gdeval,specificity,4
image15,R2,gdeval,specificity,5
image15,R3,gdeval,specificity,5
image15,R1,rubric,actionability,4
image15,R2,rubric,actionability,4
image15,R3,rubric,actionability,2
image15,R1,rubric,pedagogical,3
image15,R2,rubric,pedagogical,4
image15,R3,rubric,pedagogical,3
image15,R1,rubric,relevance,4
image15,R2,rubric,relevance,4
image15,R3,rubric,relevance,3
image15,R1,rubric,specificity,4
image15,R2,rubric,specificity,4
image15,R3,rubric,specificity,4
image16,R1,direct,actionability,3
image16,R2,direct,actionability,4
image16,R3,direct,actionability,1
image16,R1,direct,pedagogical,3
image16,R2,direct,pedagogical,3
image16,R3,direct,pedagogical,1
image16,R1,direct,relevance,2
image16,R2,direct,relevance,3
image16,R3,direct,relevance,1
image16,R1,direct,specificity,3
image16,R2,direct,specificity,3
image16,R3,direct,specificity,1
image16,R1,gdeval,actionability,4
image16,R2,gdeval,actionability,5
image16,R3,gdeval,actionability,5
image16,R1,gdeval,pedagogical,5
image16,R2,gdeval,pedagogical,5
image16,R3,gdeval,pedagogical,5
image16,R1,gdeval,relevance,4
image16,R2,gdeval,relevance,5
image16,R3,gdeval,relevance,5
image16,R1,gdeval,specificity,5
image16,R2,gdeval,specificity,5
image16,R3,gdeval,specificity,5
image16,R1,rubric,actionability,3
image16,R2,rubric,actionability,4
image16,R3,rubric,actionability,1
image16,R1,rubric,pedagogical,3
image16,R2,rubric,pedagogical,3
image16,R3,rubric,pedagogical,2
image16,R1,rubric,relevance,2
image16,R2,rubric,relevance,3
image16,R3,rubric,relevance,1
image16,R1,rubric,specificity,3
image16,R2,rubric,specificity,3
image16,R3,rubric,specificity,2
image17,R1,direct,actionability,3
image17,R2,direct,actionability,4
image17,R3,direct,actionability,2
image17,R1,direct,pedagogical,2
image17,R2,direct,pedagogical,3
image17,R3,direct,pedagogical,2
image17,R1,direct,relevance,2
image17,R2,direct,relevance,3
image17,R3,direct,relevance,2
image17,R1,direct,specificity,3
image17,R2,direct,specificity,3
image17,R3,direct,specificity,2
image17,R1,gdeval,actionability,4
image17,R2,gdeval,actionability,4
image17,R3,gdeval,actionability,5
image17,R1,gdeval,pedagogical,5
image17,R2,gdeval,pedagogical,4
image17,R3,gdeval,pedagogical,5
image17,R1,gdeval,relevance,5
image17,R2,gdeval,relevance,4
image17,R3,gdeval,relevance,5
image17,R1,gdeval,specificity,4
image17,R2,gdeval,specificity,4
image17,R3,gdeval,specificity,5
image17,R1,rubric,actionability,2
image17,R2,rubric,actionability,4
image17,R3,rubric,actionability,4
image17,R1,rubric,pedagogical,2
image17,R2,rubric,pedagogical,3
image17,R3,rubric,pedagogical,3
image17,R1,rubric,relevance,3
image17,R2,rubric,relevance,4
image17,R3,rubric,relevance,4
image17,R1,rubric,specificity,3
image17,R2,rubric,specificity,3
image17,R3,rubric,specificity,3
image18,R1,direct,actionability,3
image18,R2,direct,actionability,4
image18,R3,direct,actionability,1
image18,R1,direct,pedagogical,3
image18,R2,direct,pedagogical,3
image18,R3,direct,pedagogical,2
image18,R1,direct,relevance,3
image18,R2,direct,relevance,3
image18,R3,direct,relevance,2
image18,R1,direct,specificity,3
image18,R2,direct,specificity,3
image18,R3,direct,specificity,3
image18,R1,gdeval,actionability,4
image18,R2,gdeval,actionability,4
image18,R3,gdeval,actionability,5
image18,R1,gdeval,pedagogical,5
image18,R2,gdeval,pedagogical,4
image18,R3,gdeval,pedagogical,5
image18,R1,gdeval,relevance,5
image18,R2,gdeval,relevance,4
image18,R3,gdeval,relevance,5
image18,R1,gdeval,specificity,4
image18,R2,gdeval,specificity,4
image18,R3,gdeval,specificity,5
image18,R1,rubric,actionability,4
image18,R2,rubric,actionability,4
image18,R3,rubric,actionability,4
image18,R1,rubric,pedagogical,4
image18,R2,rubric,pedagogical,3
image18,R3,rubric,pedagogical,3
image18,R1,rubric,relevance,4
image18,R2,rubric,relevance,4
image18,R3,rubric,relevance,4
image18,R1,rubric,specificity,4
image18,R2,rubric,specificity,3
image18,R3,rubric,specificity,3
image19,R1,direct,actionability,2
image19,R2,direct,actionability,4
image19,R3,direct,actionability,2
image19,R1,direct,pedagogical,1
image19,R2,direct,pedagogical,3
image19,R3,direct,pedagogical,1
image19,R1,direct,relevance,3
image19,R2,direct,relevance,3
image19,R3,direct,relevance,2
image19,R1,direct,specificity,3
image19,R2,direct,specificity,3
image19,R3,direct,specificity,1
image19,R1,gdeval,actionability,4
image19,R2,gdeval,actionability,5
image19,R3,gdeval,actionability,5
image19,R1,gdeval,pedagogical,5
image19,R2,gdeval,pedagogical,5
image19,R3,gdeval,pedagogical,5
image19,R1,gdeval,relevance,4
image19,R2,gdeval,relevance,5
image19,R3,gdeval,relevance,5
image19,R1,gdeval,specificity,5
image19,R2,gdeval,specificity,5
image19,R3,gdeval,specificity,5
image19,R1,rubric,actionability,4
image19,R2,rubric,actionability,4
image19,R3,rubric,actionability,4
image19,R1,rubric,pedagogical,4
image19,R2,rubric,pedagogical,4
image19,R3,rubric,pedagogical,3
image19,R1,rubric,relevance,3
image19,R2,rubric,relevance,4
image19,R3,rubric,relevance,3
image19,R1,rubric,specificity,3
image19,R2,rubric,specificity,4
image19,R3,rubric,specificity,4
image20,R1,direct,actionability,2
image20,R2,direct,actionability,4
image20,R3,direct,actionability,1
image20,R1,direct,pedagogical,1
image20,R2,direct,pedagogical,3
image20,R3,direct,pedagogical,1
image20,R1,direct,relevance,3
image20,R2,direct,relevance,3
image20,R3,direct,relevance,2
image20,R1,direct,specificity,3
image20,R2,direct,specificity,3
image20,R3,direct,specificity,1
image20,R1,gdeval,actionability,4
image20,R2,gdeval,actionability,5
image20,R3,gdeval,actionability,5
image20,R1,gdeval,pedagogical,5
image20,R2,gdeval,pedagogical,5
image20,R3,gdeval,pedagogical,5
image20,R1,gdeval,relevance,5
image20,R2,gdeval,relevance,5
image20,R3,gdeval,relevance,5
image20,R1,gdeval,specificity,5
image20,R2,gdeval,specificity,5
image20,R3,gdeval,specificity,5
image20,R1,rubric,actionability,3
image20,R2,rubric,actionability,4
image20,R3,rubric,actionability,3
image20,R1,rubric,pedagogical,4
image20,R2,rubric,pedagogical,4
image20,R3,rubric,pedagogical,3
image20,R1,rubric,relevance,3
image20,R2,rubric,relevance,4
image20,R3,rubric,relevance,3
image20,R1,rubric,specificity,4
image20,R2,rubric,specificity,4
image20,R3,rubric,specificity,3
image21,R1,direct,actionability,2
image21,R2,direct,actionability,4
image21,R3,direct,actionability,2
image21,R1,direct,pedagogical,2
image21,R2,direct,pedagogical,3
image21,R3,direct,pedagogical,1
image21,R1,direct,relevance,2
image21,R2,direct,relevance,3
image21,R3,direct,relevance,2
image21,R1,direct,specificity,3
image21,R2,direct,specificity,3
image21,R3,direct,specificity,3
image21,R1,gdeval,actionability,4
image21,R2,gdeval,actionability,5
image21,R3,gdeval,actionability,5
image21,R1,gdeval,pedagogical,5
image21,R2,gdeval,pedagogical,5
image21,R3,gdeval,pedagogical,5
image21,R1,gdeval,relevance,5
image21,R2,gdeval,relevance,5
image21,R3,gdeval,relevance,4
image21,R1,gdeval,specificity,5
image21,R2,gdeval,specificity,5
image21,R3,gdeval,specificity,5
image21,R1,rubric,actionability,3
image21,R2,rubric,actionability,4
image21,R3,rubric,actionability,2
image21,R1,rubric,pedagogical,3
image21,R2,rubric,pedagogical,4
image21,R3,rubric,pedagogical,3
image21,R1,rubric,relevance,4
image21,R2,rubric,relevance,4
image21,R3,rubric,relevance,3
image21,R1,rubric,specificity,4
image21,R2,rubric,specificity,4
image21,R3,rubric,specificity,4
image22,R1,direct,actionability,3
image22,R2,direct,actionability,4
image22,R3,direct,actionability,3
image22,R1,direct,pedagogical,2
image22,R2,direct,pedagogical,3
image22,R3,direct,pedagogical,2
image22,R1,direct,relevance,4
image22,R2,direct,relevance,3
image22,R3,direct,relevance,3
image22,R1,direct,specificity,4
image22,R2,direct,specificity,3
image22,R3,direct,specificity,4
image22,R1,gdeval,actionability,5
image22,R2,gdeval,actionability,5
image22,R3,gdeval,actionability,4
image22,R1,gdeval,pedagogical,5
image22,R2,gdeval,pedagogical,5
image22,R3,gdeval,pedagogical,5
image22,R1,gdeval,relevance,5
image22,R2,gdeval,relevance,5
image22,R3,gdeval,relevance,5
image22,R1,gdeval,specificity,5
image22,R2,gdeval,specificity,5
image22,R3,gdeval,specificity,5
image22,R1,rubric,actionability,3
image22,R2,rubric,actionability,4
image22,R3,rubric,actionability,3
image22,R1,rubric,pedagogical,3
image22,R2,rubric,pedagogical,4
image22,R3,rubric,pedagogical,2
image22,R1,rubric,relevance,4
image22,R2,rubric,relevance,4
image22,R3,rubric,relevance,4
image22,R1,rubric,specificity,3
image22,R2,rubric,specificity,4
image22,R3,rubric,specificity,4
image23,R1,direct,actionability,2
image23,R2,direct,actionability,4
image23,R3,direct,actionability,1
image23,R1,direct,pedagogical,2
image23,R2,direct,pedagogical,3
image23,R3,direct,pedagogical,1
image23,R1,direct,relevance,3
image23,R2,direct,relevance,3
image23,R3,direct,relevance,1
image23,R1,direct,specificity,3
image23,R2,direct,specificity,3
image23,R3,direct,specificity,1
image23,R1,gdeval,actionability,5
image23,R2,gdeval,actionability,5
image23,R3,gdeval,actionability,5
image23,R1,gdeval,pedagogical,4
image23,R2,gdeval,pedagogical,5
image23,R3,gdeval,pedagogical,5
image23,R1,gdeval,relevance,5
image23,R2,gdeval,relevance,5
image23,R3,gdeval,relevance,5
image23,R1,gdeval,specificity,5
image23,R2,gdeval,specificity,5
image23,R3,gdeval,specificity,5
image23,R1,rubric,actionability,3
image23,R2,rubric,actionability,4
image23,R3,rubric,actionability,3
image23,R1,rubric,pedagogical,2
image23,R2,rubric,pedagogical,4
image23,R3,rubric,pedagogical,3
image23,R1,rubric,relevance,3
image23,R2,rubric,relevance,4
image23,R3,rubric,relevance,3
image23,R1,rubric,specificity,3
image23,R2,rubric,specificity,4
image23,R3,rubric,specificity,2
image24,R1,direct,actionability,3
image24,R2,direct,actionability,4
image24,R3,direct,actionability,2
image24,R1,direct,pedagogical,3
image24,R2,direct,pedagogical,3
image24,R3,direct,pedagogical,1
image24,R1,direct,relevance,3
image24,R2,direct,relevance,3
image24,R3,direct,relevance,2
image24,R1,direct,specificity,4
image24,R2,direct,specificity,3
image24,R3,direct,specificity,1
image24,R1,gdeval,actionability,5
image24,R2,gdeval,actionability,5
image24,R3,gdeval,actionability,5
image24,R1,gdeval,pedagogical,4
image24,R2,gdeval,pedagogical,5
image24,R3,gdeval,pedagogical,5
